179	Doug McDermott	252,112
180	Robert Covington	250,262
181	Robert Williams	246,007
182	Josh Jackson	242,189
183	Cameron Johnson	240,902
184	Ayo Dosunmu	238,852
185	Killian Hayes	238,418
186	Frank Ntilikina	238,026
187	Anfernee Simons	236,720
188	Kent Bazemore	234,034
189	Evan Mobley	232,681
190	Jaden Ivey	231,484
191	Immanuel Quickley	224,971
192	Kevin Knox	221,168
193	OG Anunoby	220,659
194	Jalen Brunson	219,170
195	Deni Avdija	218,625
196	Usman Garuba	218,625
197	Wesley Matthews	216,368
198	Christian Wood	214,480
199	K.J. Martin	214,087
200	John Collins	212,321
201	Jeremy Sochan	210,927
202	Jerami Grant	210,398
203	Luke Kennard	210,239
204	Taurean Prince	208,890
205	Desmond Bane	207,817
206	Reggie Jackson	198,226
207	Moses Moody	198,000
208	Gorgui Dieng	195,701
209	Rodney Hood	193,900
210	MarJon Beauchamp	193,188
211	Reggie Bullock	192,225
212	Cam Thomas	190,227
213	Nassir Little	188,517
214	Davion Mitchell	186,581
215	Pat Connaughton	186,300
216	Quentin Grimes	186,005
217	Onyeka Okongwu	183,269
218	Precious Achiuwa	181,601
219	Isaac Okoro	181,005
220	Frank Kaminsky	179,354
221	Monte Morris	178,863
222	Luguentz Dort	178,735
223	Sam Dekker	178,096
224	Cory Joseph	178,044
225	Jaden Springer	175,819
226	Kelly Olynyk	173,816
227	Moe Wagner	172,614
228	Derrick White	171,891
229	Daniel Theis	170,402
230	Shaedon Sharpe	169,298
231	Josh Green	165,666
232	Ivica Zubac	164,116
233	Ziaire Williams	162,962
234	Wendell Carter Jr.	162,765
235	Jarred Vanderbilt	162,131
236	Trey Lyles	160,487
237	Robin Lopez	159,942
238	Malcolm Brogdon	159,190
239	Romeo Langford	157,620
240	James Harden	156,724
241	Bismack Biyombo	156,629
242	Gary Harris	155,816
243	Keldon Johnson	154,280
244	Dalen Terry	154,083
245	Bennedict Mathurin	153,520
246	Jabari Smith II	152,946
247	Nicolas Claxton	150,860
248	Royce O'Neale	149,468
249	Kyle Anderson	147,925
250	Naz Reid	146,987
251	Dillon Brooks	146,079
252	Eric Paschall	145,866
253	Theo Pinson	143,105
254	Mitchell Robinson	142,666
255	Jalen Duren	139,466
256	Scottie Lewis	138,714
257	Malaki Branham	138,452
258	Ochai Agbaji	137,615
259	Raulzinho Neto	137,098
260	Neemias Queta	136,848
261	Nikola Jovic	131,101
262	Jalen Johnson	130,772
263	Vernon Carey Jr.	130,292
264	Nickeil Alexander-Walker	129,197
265	Isaiah Todd	128,759
266	Marquese Chriss	126,465
267	Patrick Williams	125,025
268	Stanley Johnson	124,847
269	T.J. McConnell	124,226
270	James Bouknight	124,138
271	Chandler Hutchison	123,362
272	Delon Wright	122,564
273	Isaiah Stewart II	122,438
274	Nik Stauskas	121,127
275	Luka Garza	121,114
276	A.J. Griffin Jr.	119,182
277	Svi Mykhailiuk	118,565
278	Maxi Kleber	118,129
279	Isaiah Jackson	116,629
280	Darius Bazley	114,221
281	Thomas Bryant	113,262
282	Franz Wagner	112,841
283	Landry Shamet	111,645
284	Troy Brown Jr.	111,361
285	T.J. Warren	111,084
286	Brandon Clarke	110,963
287	D.J. Wilson	110,506
288	Christian Braun	108,720
289	Georges Niang	106,782
290	Semi Ojeleye	106,548
291	Kennedy Chandler	106,372
292	Jeremy Lamb	106,349
293	Kawhi Leonard	106,209
294	Jevon Carter	106,157
295	Torrey Craig	104,674
296	Wayne Ellington	103,375
297	Dwight Powell	102,433
298	Max Christie	101,750
299	Dario Saric	101,694
300	Tomas Satoransky	101,394
301	Kai Jones	101,301
302	Tony Bradley	100,768
303	Jarrett Culver	100,378
304	Frank Jackson	99,950
305	Lester Quinones	99,250
306	Bruce Brown Jr.	98,043
307	Kris Dunn	97,469
308	Jordan Nwora	96,192
309	De'Andre Hunter	96,091
310	TyTy Washington Jr.	95,854
311	Sekou Doumbouya	95,450
312	Nick Richards	95,018
313	Zach Collins	94,504
314	Yogi Ferrell	93,678
315	Dyson Daniels	92,918
316	Leandro Bolmaro	90,420
317	Wendell Moore Jr.	89,848
318	Maurice Harkless	89,044
319	Davis Bertans	88,625
