PTS,44
draft_pick,31
FT,29
age,23
FG,21
PER,18
games_started,17
TRB,17
MP,16
all_start_total,16
all_star_total,15
mvp_total,10
Age,10
dpoy,9
FTr,8
player_week_total,8
startYear,8
mvp,7
games,7
dpoy_total,5
TRb,4
season_start_year,3
seasonStartYear,2
all_nba_total,1
height,1
